"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-01",,,"68","H,,S","80",",,S","55",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-03",,,"69","H,,S","80",",,S","56",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-06",,,"79","H,,S","88",",,S","69",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-09",,,"57","H,,S","72",",,S","44",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-11",,,"65","H,,S","77",",,S","55",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-12",,,"66","H,,S","74",",,S","56",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-13",,,"67","H,,S","77",",,S","59",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-14",,,"69","H,,S","80",",,S","61",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-15",,,"70","H,,S","85",",,S","54",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-16",,,"76","H,,S","89",",,S","65",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-17",,,"76","H,,S","88",",,S","64",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-18",,,"74","H,,S","87",",,S","62",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-19",,,"72","H,,S","86",",,S","63",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-20",,,"72","H,,S","85",",,S","60",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-22",,,"63","H,,S","72",",,S",,
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-25",,,"63","H,,S","76",",,S","51",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-26",,,"70","H,,S","83",",,S","60",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-28",,,"70","H,,S","85",",,S","63",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-29",,,"70","H,,S","83",",,S","59",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-08-30",,,"75","H,,S","91",",,S","68",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-01",,,"60","H,,S","71",",,S","52",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-02",,,"58","H,,S","73",",,S","47",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-03",,,"58","H,,S","74",",,S","47",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-04",,,"59","H,,S","74",",,S","44",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-05",,,"59","H,,S","73",",,S","42",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-06",,,"62","H,,S","76",",,S","53",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-07",,,"53","H,,S","73",",,S","41",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-08",,,"56","H,,S","74",",,S","41",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-09",,,"60","H,,S",,,"48",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-10",,,"55","H,,S",,,"44",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-11",,,"60","H,,S","77",",,S","47",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-12",,,"61","H,,S","80",",,S","45",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-13",,,"64","H,,S","81",",,S","50",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-14",,,"58","H,,S","63",",,S","52",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-15",,,"55","H,,S","63",",,S",,
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-16",,,"51","H,,S","66",",,S","39",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-17",,,"54","H,,S","71",",,S","41",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-18",,,"60","H,,S","76",",,S","47",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-21",,,"59","H,,S","74",",,S","48",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-22",,,"65","H,,S","79",",,S","52",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-25",,,"54","H,,S","68",",,S","45",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-26",,,"53","H,,S","70",",,S","43",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-27",,,"56","H,,S","73",",,S","45",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-29",,,"56","H,,S","76",",,S","44",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-09-30",,,"54","H,,S","76",",,S","47",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-10-03",,,"58","H,,S","70",",,S","43",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-10-04","0.01","B,,S","58","H,,S","62",",,S",,
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-10-10",,,"37","H,,S","47",",,S",,
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-10-13",,,"48","H,,S","57",",,S","45",",,S"
"BOM00026850","MINSK, BO","53.87","27.53","222.0","2023-10-17",,,"41","H,,S","49",",,S","33",",,S"
